State,Population,0to4,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,85plus
AL,5056796,296208,306191,322211,330210,323093,301992,313803,307657,309552,319960,318597,304091,281111,272171,241122,218743,160046,130036
AK,819954,56218,57602,57938,54912,51641,57464,58459,55486,52198,55989,55753,47000,34955,29251,26743,26281,21174,20889
AZ,9166279,595884,597797,583063,584668,584958,599247,575989,563010,527053,520361,466125,446948,442161,506706,471547,466364,331511,302887
AR,3217535,199626,200223,211669,210717,203900,189038,205330,195799,193897,191228,197944,191042,178471,173334,150810,141340,99968,83198
CA,46467001,3047393,3189522,3061014,3181686,3221051,3492769,3223540,3101928,2988007,3086909,2650658,2353998,2076730,1953226,1847304,1640713,1239599,1110955
CO,7692907,497991,504228,497371,495183,512344,548467,570657,567238,514819,503483,452065,412039,351287,325158,283920,262537,207142,186980
CT,3542707,200331,217207,219746,226125,206970,215473,211009,230937,238321,246210,226223,198626,169806,161409,168462,160648,125897,119307
DE,1164344,67162,69904,70001,75492,73746,72267,72771,72989,69761,74561,69484,65349,60337,60269,59912,54951,40355,35031
DC,1058820,56858,54968,47034,67221,99747,112913,93093,71705,67652,76021,75905,71887,55712,35389,29138,19282,14048,10245
FL,28886983,1529956,1596927,1640227,1692815,1667528,1720394,1781578,1747038,1770067,1830512,1798918,1668037,1590896,1708924,1672172,1556376,1071301,843315
GA,12820271,852868,863957,872536,875499,872025,888280,920328,903452,845909,816996,722454,641543,577115,587148,516116,462135,323114,278795
HI,1619703,92670,93768,92983,92782,102568,104641,104577,100446,94399,99975,97470,96338,89372,81620,79861,72681,59266,64286
ID,2227842,156254,156277,163354,158083,142584,130574,147238,140327,132167,126188,129409,124358,110338,102796,89472,87204,67489,63729
IL,12397564,772215,805149,795905,819959,797338,846040,815116,815186,797199,809386,739281,694330,612897,570588,517355,484709,371214,333698
IN,7095000,450656,461440,478478,488206,474701,437281,461821,456110,449419,447463,427339,399247,358560,333838,298869,278079,211524,181968
IA,3392783,206879,210968,223686,230322,223864,196561,216208,208160,202585,208671,210297,206648,182449,156410,148851,142368,116070,101787
KS,3032653,202541,201407,209313,208081,207659,189835,200487,194448,181239,181151,174975,171018,147721,132440,121781,122695,98597,87266
KY,4714761,279164,283124,298624,299157,299614,283971,310157,300684,293641,296758,290940,284554,265874,247466,221793,198500,144582,116160
LA,5062780,317761,323025,333378,342596,335036,313863,326565,308574,304739,316268,334251,334407,287203,233860,217435,187363,140868,105587
