State,Population,0to4,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,85plus
ME,1326159,59142,65950,71646,75032,63596,63634,71881,74780,77847,87345,93534,88049,82080,79238,81288,77215,61114,52787
MD,6842902,414343,434251,439019,442820,426001,456901,466950,460852,454996,477616,444237,390161,325250,292862,285490,261330,193815,176007
MA,7742628,425294,451527,453926,498894,511409,524408,497866,509150,508770,535956,500408,447940,389990,354256,363335,319443,244894,205163
MI,9960115,572910,623884,631946,662695,601374,597051,592396,609944,629738,670548,639215,564598,517553,490627,476106,433174,345641,300714
MN,6364886,387330,398255,410573,412502,389821,398819,425577,417182,392969,406514,394043,381358,323636,280852,273713,269944,215141,186657
MS,2962160,185934,189217,198004,203048,192812,170956,183322,173205,172989,178690,179777,182162,167241,156870,138029,124703,91757,73442
MO,6359970,381557,393328,409266,416280,399765,389233,407639,394408,386267,401326,397397,380514,334479,312580,286532,282425,211643,175330
MT,1236304,68198,70729,76938,77559,71140,65331,75312,71510,71858,77645,87326,86267,74316,61849,56018,55620,47384,41303
NE,2190918,144992,144896,149442,150594,146222,137619,148154,140688,130088,131886,132089,130086,110803,95968,87066,84767,67814,57743
NV,4058371,261476,260823,249010,239435,249626,286814,278512,271003,257052,254681,215825,199928,181202,217403,189078,191104,123268,132130
NH,1393451,67061,76389,78262,83793,71934,73125,76561,83763,89611,96960,96348,83624,74380,74518,78395,77183,59851,51693
NJ,9470012,572453,599282,608513,598853,557301,609475,625335,655450,641233,658544,589015,523695,463192,429680,420591,381686,284146,251568
NM,2127318,129944,133594,137031,136913,124072,121909,127317,122384,118019,123989,128317,124465,112309,111027,102940,108330,82826,81929
NY,20873488,1213187,1272379,1272387,1365693,1370478,1450063,1396956,1372091,1358896,1432973,1379982,1233218,1061653,917859,890047,777451,588354,519819
NC,12658927,784418,791129,809906,819294,870366,829404,865564,852752,800752,790840,710158,666759,630987,649962,579736,514640,366013,326247
ND,1060457,62381,61508,66702,72194,79445,63703,70656,61578,61401,66050,77451,75155,62595,44236,42413,37162,32063,23763
OH,11751540,693476,730568,753376,770936,718011,703877,726025,733038,737030,771419,745285,695090,626773,578337,546792,494732,394699,332077
OK,4439038,290647,289007,301865,304710,306420,278753,298805,282114,267712,265113,266441,266280,233021,208965,182428,169309,127769,99680
OR,5164041,301926,308970,316609,318651,314857,331224,338506,337368,328947,339262,325134,311057,282671,254733,226121,202289,164587,161127
PA,12809150,684462,738874,773485,829894,774593,745095,778033,782353,790160,860138,854295,782995,681220,644452,635397,590827,463317,399558
RI,1055318,55327,60048,60353,71804,72173,64729,63828,64278,66468,70872,69482,61099,53757,50288,52048,48109,37561,33094
SC,6352502,374646,381427,398808,414902,414504,385644,409878,388228,379955,393331,398033,378339,358927,341414,311906,266767,190789,165005
SD,1043032,66799,65745,70641,70293,66626,59103,66785,61807,58423,61778,66110,67203,59160,47804,45130,44011,35818,29796
TN,7823662,470735,480511,501241,503846,505244,492685,522823,508734,499630,497567,476188,447344,415721,402049,357638,317834,230247,193625
TX,40015913,2920025,2917820,2909766,2880214,2837479,2845602,2894567,2781382,2580831,2438669,2217723,2039447,1810010,1672629,1437748,1235103,893208,703692
UT,4344339,375697,352118,341658,340331,345609,312705,299103,282584,246306,224967,211650,214394,200990,166349,132998,121954,93966,80960
VT,601865,26639,30619,32270,36773,32884,30021,32119,33403,35825,40777,42705,38841,35011,32873,33980,33769,27651,25706
VA,9876728,587465,602256,612330,633523,662798,661600,675891,675189,638270,655429,606667,565706,489819,457000,428168,388522,284815,251282
WA,9776126,596182,611748,623092,622274,616236,650577,679315,658521,636311,658032,619709,576561,493076,437367,399663,359466,280515,257478
WV,1661849,81851,85498,94327,97674,94590,85018,99401,96458,99443,103937,112545,110759,109489,103072,92014,80577,62790,52404
WI,5997137,337676,357610,374332,384058,363172,346327,372957,372376,365074,382945,379133,369527,321160,291560,285543,281821,219885,191984
WY,615787,36470,36146,40141,39306,37357,33760,41944,36711,35477,36357,42607,42399,34676,29588,25332,25762,21913,19841
