State,Population,0to4,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,85plus
MO,6161471,377884,384211,411225,404742,387486,402755,408089,402058,365421,357696,367067,421194,409528,354820,277989,189445,119856,120005
MT,1074635,61943,63199,71357,65937,58046,60082,70528,72999,65431,59631,60278,73935,80528,73784,55847,36035,22672,22403
NE,1956876,131254,129373,142203,138037,126151,127439,130334,132410,118140,110764,109465,125130,122641,104149,80225,52692,35733,40740
NV,3119265,204176,201312,193156,184771,203740,241612,215689,204310,185542,182251,184442,186915,173579,197896,158365,98206,55686,47616
NH,1352917,67757,75316,76017,81303,77400,81561,87343,81130,75023,82584,95503,109251,106218,88239,69550,44079,26284,28362
NJ,9088074,549307,564823,577230,575669,557885,632441,616614,594941,560993,568987,615354,640574,587698,467598,375311,252967,161240,188444
NM,2099134,134695,136782,143563,136791,122182,129712,135728,133836,119813,114025,116840,135022,137051,138699,110329,69550,43370,41146
NY,20031150,1191169,1231416,1202076,1249229,1329007,1486544,1482178,1381655,1234675,1197563,1296979,1352164,1265759,1014435,813836,542288,357718,402459
NC,10568033,648091,649190,701861,714995,745381,731987,674632,658114,637426,663339,666782,687725,648122,589732,476791,307212,187704,178947
ND,789403,48594,47363,53893,51651,54683,50331,57135,56658,48128,43255,44690,53555,56777,40911,30309,20284,13933,17255
OH,11705262,700307,727121,761455,773226,736482,755375,749637,727620,689810,709764,743026,809921,808920,668894,530586,344095,227248,241774
OK,4001180,264539,260926,285580,280301,267784,257606,262962,270590,243108,231796,225881,254363,252261,216155,171257,115820,73233,67019
OR,4267534,255594,258486,264712,260004,258457,287191,292712,294157,274797,257671,250730,261175,271263,266922,212736,134756,80951,85220
PA,12844885,702788,744661,791094,817914,790354,820125,845833,810836,740911,759362,832252,913013,910253,774503,608785,406162,265076,310962
RI,1062334,57088,60825,59899,70113,76073,72184,72211,65756,59776,61549,70776,76890,74035,60479,47840,31277,19759,25805
SC,5184564,310528,314268,342194,342387,336311,334659,337736,325491,306960,312823,322767,351926,345825,306469,250798,161678,94721,87024
SD,891688,59031,57213,66326,60984,53697,53170,57162,59872,53612,48409,49948,59867,60940,50945,37995,24998,17312,20211
TN,6861856,413282,418981,453394,452915,448633,455629,446990,438403,420222,429230,431861,458093,441167,390146,314662,207038,126997,114212
TX,29604099,2161736,2148383,2215939,2195255,2135938,2176839,2077848,2018009,1848251,1802583,1711906,1729535,1613424,1333452,1016201,650097,396256,372447
UT,3240569,290458,270645,274091,270919,255954,230619,215747,224958,214007,174036,149599,148239,144213,131196,99174,66347,41343,39023
VT,622868,29316,32839,34519,37560,36144,35894,39297,37369,34967,36231,41267,48341,49476,44561,35018,22455,13259,14354
VA,8655021,519217,525220,552501,561838,587526,617101,594373,590978,536883,534604,555287,586245,540800,457767,368682,237698,145026,143275
WA,7681818,477164,482882,502181,478472,483108,545398,552155,546222,486652,464128,468654,490317,479939,422971,331376,212407,125853,131938
WV,1801966,91466,95336,109528,109915,100926,97305,108259,110642,112798,115522,117297,127099,134384,126620,102131,64007,41205,37523
WI,5837176,339772,353156,386111,382477,359980,364110,376290,383560,351226,340245,367833,412951,397930,345107,262878,173290,114430,125830
WY,585380,36412,35826,42909,37681,32358,33232,40999,43212,36716,33129,31908,37060,40461,37854,27392,17274,10685,10270
