State,Population,0to4,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,85plus
AL,4911278,295094,303205,323387,324544,317741,312794,315147,311704,297283,303089,303375,331052,324364,287630,230762,150209,94976,84921
AK,751328,53506,53709,54743,47612,46229,56978,61044,56479,45888,42231,42775,47232,45167,39238,27402,15733,8084,7280
AZ,7268694,483270,479848,475812,478374,489335,514311,462148,437235,404364,398180,397779,428723,437156,464190,385927,248757,148287,134997
AR,3038491,192573,192158,209238,205095,191186,186183,195847,194255,183765,180462,178503,198965,193863,179431,144340,97132,60410,55084
CA,40438640,2689531,2787784,2646171,2649267,2921400,3293643,2941081,2711544,2436293,2402702,2444640,2461688,2294496,1936147,1528997,989149,629110,674998
CO,5843359,377857,377022,388036,387285,393907,437948,426558,416609,372340,358064,343336,357613,347621,306739,235288,143419,86930,86785
CT,3593542,205354,217335,213391,227308,226888,240890,236080,224114,206872,214870,247632,264326,244306,197308,159750,110430,69293,87393
DE,987393,57649,58848,60552,64126,64407,67040,63994,60611,54949,56120,61999,68910,68152,59734,48775,32270,19759,19497
DC,732552,41799,40294,32605,38407,62111,79135,76686,68162,52134,43785,41017,41407,37966,25723,20607,13333,8257,9124
FL,21877257,1184616,1221285,1262050,1268136,1309391,1425434,1448676,1353825,1231133,1274736,1356756,1543417,1546513,1445133,1197426,804828,504849,499052
GA,10725351,710506,713849,753022,762258,757094,790152,742541,703872,663973,677721,665047,665323,599407,533049,424051,266073,157898,139517
HI,1453902,85646,85687,88468,83188,92231,100603,95738,96007,86216,83531,89058,95433,97703,89668,72424,46909,28478,36913
ID,1777249,127233,126074,138775,131155,110616,106188,116753,119324,108888,99012,94850,101537,102221,100685,79119,52479,32056,30284
IL,12791188,813519,839115,825066,844404,855356,927162,874841,856368,794301,778112,785214,821420,779824,669673,516940,345255,223335,241284
IN,6737581,430852,436525,464326,475133,458397,438926,436496,429433,407531,408777,408677,442427,424623,362148,282410,188168,119538,123193
IA,3184240,197458,198148,221892,219840,205673,194612,201298,206909,191183,180043,187535,210883,211040,181100,140442,94758,66123,75302
KS,2936212,198289,194107,212752,207384,198668,192165,190474,194242,174004,163408,163499,185128,182699,160018,123003,81454,53925,60995
KY,4498533,269761,271558,300644,296895,286324,285654,286771,289988,281395,281779,284946,310722,298013,258720,205623,132044,82692,75005
LA,4742900,310406,312753,328394,317761,307328,306598,325712,334142,295132,275552,287082,316511,311897,250913,191218,123114,76696,71692
ME,1338780,62730,68649,76663,77313,67014,72395,81228,79112,75598,81708,92472,108058,109934,95953,77147,49598,30778,32431
MD,6161345,376917,387743,394564,386359,389988,447950,446257,419538,373777,371994,404428,429189,390679,316689,250346,164679,100605,109642
MA,6982092,388774,404654,399512,441537,483715,516859,490428,449760,406252,420027,469049,504291,470645,369471,300147,196246,123338,147386
MI,9992315,584820,625527,628513,660665,640745,662878,646409,590739,568539,601486,646896,704872,697258,580277,453034,302887,190506,206263
MN,5683666,354279,357141,386988,375244,347573,379810,386935,391606,347760,326245,345831,388351,372289,310780,235885,158390,104085,114474
MS,2990498,194700,197502,214444,208799,194249,183374,185063,193689,182848,179687,179553,195657,190855,170015,132390,84296,54843,48536
