,State,worker_ratio,theta,discount,funded_ratio,pension,wage_scale,sector_size,portfolio,pvl,cost_living,ss
1,AK,3.1164383561643834,1.0883017049541954,0.07363188243526943,0.6792221525542338,27.07199629251225,0.0899,0.137674138,0.8596247060006998,22864000.0,104.4,0.0
0,AL,0.6829964635352177,0.9680506584641593,0.07694755951345114,0.69049666523697,25.809049191045876,0.0899,0.12105311199999999,0.663205644452805,57260395.5,86.7,0.9999999999999999
3,AR,0.7970757371834087,0.9576275461303693,0.07374678513185653,0.7953597435049906,22.441127057869814,0.0899,0.116435325,0.8294548891206336,32930710.227,86.5,0.9999999999999999
2,AZ,0.746843052310553,1.0049007698699153,0.07427215720627633,0.6455271230168826,30.206006911412288,0.0899,0.096276055,0.8443302003099025,81388837.0,96.4,1.0
4,CA,0.7687951314326849,0.9011040735609334,0.07170653195993469,0.7189355187281802,36.0947627488085,0.0899,0.09860249,0.7637538796293092,1178044366.0,114.8,0.6058288690971084
6,CO,0.6074942884383601,0.8413933842431387,0.07261440500480276,0.6179454625162071,36.43763082457255,0.0899,0.103375478,0.7715293095162793,81460313.0,103.2,0.04576200192110728
8,CT,0.8990363165878469,0.9852776750195162,0.07359055234620356,0.47986376779326534,41.20836178879472,0.0899,0.096162114,0.7361357884265064,75491736.4,108.0,0.5480373133926218
9,DC,0.7296839729119639,1.0,0.065,1.054940086412119,25.77827687902896,0.0899,0.045776778,0.67,8098864.0,115.0,0.0
14,DE,0.7713255503164477,0.9967540998705016,0.06999999999999999,0.8457310899544414,22.569536604265505,0.0899,0.102526084,0.6561604921198185,11477107.542,100.1,1.0
10,FL,0.9181944794158379,0.9276672521376108,0.07192327683063414,0.8139774865573538,24.120541595928476,0.0899,0.080212617,0.7700366809811999,200476693.9,99.9,0.9909088714276727
13,GA,0.6529702105504729,1.0001610446208893,0.07257186884944304,0.764222852674544,39.19160215618916,0.0899,0.096044615,0.6938773686665952,124039970.99000001,92.5,0.9647585294070052
11,HI,0.7514725155536809,0.957728,0.07,0.552,23.24869,0.0899,0.101458865,0.81768,31396400.0,118.5,1.0
18,IA,0.7243880326382592,0.9878676347238149,0.0703648703012313,0.8352790639870535,21.272210919876965,0.0899,0.116250855,0.7170201839353348,43131188.717999995,89.8,0.9242067771103253
16,ID,0.6637058288047226,0.9942890909090907,0.07,0.9159999999999999,20.50441,0.0899,0.11097927099999999,0.7230000000000001,18672900.0,93.0,1.0
5,IL,0.8596428646003716,0.7553547309306075,0.06964308253512883,0.46674179970710833,44.29500957894596,0.0899,0.095215699,0.7097057132952932,352978258.0,98.5,0.3719757719468376
17,IN,0.7614651112311397,1.0095630920966463,0.0675,0.6200619496260047,17.167839667350826,0.0899,0.099153199,0.702,36945650.0,89.8,1.0
19,KS,0.6718628264895588,0.8164769489996988,0.07738027488489291,0.6949337440252752,18.31980510123884,0.0899,0.121178721,0.7791589391142365,30563839.689999998,90.0,1.0
20,KY,0.9068444919172588,0.881373197840623,0.06439058337884938,0.4555030837034161,30.59641407263274,0.0899,0.10801833400000001,0.6660574220754267,72989632.8,87.9,0.5249090772244577
21,LA,0.9920347826086956,0.9970729093406734,0.07421177509578737,0.6872365160046332,27.558607118777584,0.0899,0.10855153,0.7700296562102279,65224346.44,90.1,0.032861852314177056
24,MA,0.7215711976661673,0.9286800836444522,0.07228163642703997,0.5768044525541512,38.11768272984868,0.0899,0.08307445599999999,0.7740633218736009,108281760.0,107.9,0.0
23,MD,0.8785408491763559,0.8933930466082576,0.07385534964615206,0.7440871635150601,23.48859394564444,0.0899,0.092728454,0.7949915851913761,80815504.0,109.4,1.0
22,ME,0.8914488344604414,1.003795445993008,0.06875,0.8322753742725257,22.044734759285227,0.0899,0.102027996,0.835,17806042.5,98.4,0.0
25,MI,1.5300688934629345,0.94271525525977,0.06897043421077621,0.6220445960565139,24.97404031518676,0.0899,0.096124825,0.7898584623564213,126425441.3,93.0,0.968362888364306
12,MN,0.7562606425993255,0.8143407066732302,0.075,0.8057094387309138,25.463667254167138,0.0899,0.100366068,0.767142749952462,83995932.0,97.5,1.0
27,MO,0.829730709366538,1.1289726274724763,0.0738610197380725,0.8036500758421061,33.85414612585443,0.0899,0.10091815,0.7415903525534183,84549405.7,89.5,0.4325941430005817
26,MS,0.7158531971244798,1.043566818181818,0.0775,0.609,27.926919000000005,0.0899,0.137842488,0.7013,46006860.0,85.7,1.0
31,MT,0.8250386205168887,0.8904751684263769,0.07584615770168913,0.7165924457204709,21.851054831390154,0.0899,0.111154839,0.6938666132032442,14105594.0,94.6,1.0
35,NC,0.6770330205138565,0.9985870627486079,0.07003054932051603,0.8731659542031635,22.592656548220695,0.0899,0.111210981,0.6186616982823769,112013457.0,91.3,1.0
36,ND,0.6061864406779661,0.7566393655303246,0.07746454686531855,0.695216521679736,22.159725455110763,0.0899,0.11668171,0.752344298858842,8381626.27,90.1,1.0
32,NE,0.6311869931024028,1.0310766666352267,0.07519992391141603,0.8265792283440875,29.595688510768863,0.0899,0.110912255,0.7095877627223327,17592100.290000003,89.6,0.9999999999999999
29,NH,0.7955755257352197,1.0,0.07243971712113574,0.608241131515457,19.376728799440453,0.0899,0.092911387,0.7569758868484543,15385149.44,105.8,1.0
30,NJ,0.7466681534344335,0.5275094141135339,0.0737336373739136,0.5144463305277011,33.21540903664206,0.0899,0.098019165,0.7305892656506472,169828947.25,112.9,1.0
33,NM,0.8382552629391171,0.8859469656612728,0.07250000000000001,0.6647051670438386,28.288101845025647,0.0899,0.14541677,0.684445307590211,43450570.0,93.3,1.0
28,NV,0.6417323916568194,0.962355557623674,0.075,0.7525706441426255,41.689405153681335,0.0899,0.077621078,0.744,57920216.0,97.6,0.0
34,NY,0.80188477604431,0.9996511126027104,0.06943432969914973,0.8648173596710201,25.83039086200031,0.0899,0.103475845,0.7057419781436759,578027023.0,115.8,1.0
37,OH,0.754076788031448,0.9842723352828061,0.07392511132120395,0.7660799981276952,37.46564076254023,0.0899,0.09887298800000001,0.7213983123856464,253740743.0,88.9,0.0
38,OK,0.8157193703445492,1.0785819664394014,0.0737022752790902,0.8108089583583946,23.98956665076914,0.0899,0.12485709,0.6652014391583487,40962337.5,89.0,0.904984755813801
39,OR,0.8423312571069738,0.9615909090909092,0.07200000000000001,0.7490000000000001,31.738904999999995,0.0899,0.09931361,0.79872,86574704.0,99.5,1.0
40,PA,1.0507289608595152,0.7630968911079845,0.07231838466044853,0.5695702805207479,25.147390579315463,0.0899,0.08334655099999999,0.7136273144750852,169955165.0,97.9,0.9999999999999999
41,RI,0.8856916951402027,0.9992313690325354,0.07000000000000002,0.5473357460887456,33.97832718366244,0.0899,0.08569206900000001,0.7194822873060747,15422002.5,98.6,0.8966641329490124
42,SC,0.7176832078660317,1.000138205470367,0.0724974184572929,0.5553750855988739,22.577041807234906,0.0899,0.117499436,0.7820830725092843,58236358.859,90.4,1.0
43,SD,0.7076074815219716,1.0618136472614939,0.06530986380813539,1.0005739372638138,23.12517242430405,0.0899,0.109949381,0.6023507965914874,12963953.5,88.2,1.0
44,TN,0.8250221417844353,1.0027472731553024,0.07249704873517951,0.9733153506768738,16.683923777272245,0.0899,0.093808579,0.7051678776983686,55068328.287999995,90.4,1.0000000000000002
7,TX,0.5448722701004942,0.8944224993187417,0.07288198181804574,0.7756694623790307,25.3742095798776,0.0899,0.099362033,0.8144636616527071,354137927.8,97.0,0.37472695066693157
46,UT,1.1167664670658684,1.0,0.0695,0.8717969597164711,26.01729828679509,0.0899,0.10199936,0.775,34837514.0,97.0,1.0
